aircraft_id,bomb_id,display_name,nation_guess,mass_kg,mass_bucket,explosive_mass_kg,caliber_mm,drag_coef,length_m,diameter_m,velocity_limit,source_file,preset_names,match_source,is_matched,sandbox_allowed,notes
a5m4,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,a5m4_bombs | a5m4_default,weaponPresets_bombguns_structural,yes,yes,
a5m4_hagiri,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,a5m4_bombs | a5m4_default,weaponPresets_bombguns_structural,yes,yes,
a6m2_mod11,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,A6M2_2x60kg | a6m2_default,weaponPresets_bombguns_structural,yes,yes,
a6m2_n_zero,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,A6M2_n_2x60kg | a6m2n_default,weaponPresets_bombguns_structural,yes,yes,
a6m2_zero,jp_navy_mod25mark2_250kg,jp_navy_mod25mark2_250kg,Japan,257.0,250-499 kg,111.0,0.358,,1.813,,,jp_navy_mod25mark2_250kg.blkx,A6M2_2x60kg | a6m2_250kg | a6m2_default,weaponPresets_bombguns_structural,yes,yes,
a6m2_zero,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,A6M2_2x60kg | a6m2_250kg | a6m2_default,weaponPresets_bombguns_structural,yes,yes,
a6m2_zero_china,jp_navy_mod25mark2_250kg,jp_navy_mod25mark2_250kg,Japan,257.0,250-499 kg,111.0,0.358,,1.813,,,jp_navy_mod25mark2_250kg.blkx,A6M2_2x60kg | a6m2_250kg | a6m2_default,weaponPresets_bombguns_structural,yes,yes,
a6m2_zero_china,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,A6M2_2x60kg | a6m2_250kg | a6m2_default,weaponPresets_bombguns_structural,yes,yes,
a6m3_mod22_zero,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,A6M3_mod22_2x60kg | a6m3_default,weaponPresets_bombguns_structural,yes,yes,
a6m3_mod22ko_zero,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,A6M3_mod22ko_2x60kg | A6M3_mod22ko_default,weaponPresets_bombguns_structural,yes,yes,
a6m5_zero,jp_navy_mod25mark2_250kg,jp_navy_mod25mark2_250kg,Japan,257.0,250-499 kg,111.0,0.358,,1.813,,,jp_navy_mod25mark2_250kg.blkx,A6M5_2x60kg | a6m5_bombs | a6m5_default,weaponPresets_bombguns_structural,yes,yes,
a6m5_zero,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,A6M5_2x60kg | a6m5_bombs | a6m5_default,weaponPresets_bombguns_structural,yes,yes,
a6m5_zero_china,jp_navy_mod25mark2_250kg,jp_navy_mod25mark2_250kg,Japan,257.0,250-499 kg,111.0,0.358,,1.813,,,jp_navy_mod25mark2_250kg.blkx,A6M5_2x60kg | a6m5_bombs | a6m5_default,weaponPresets_bombguns_structural,yes,yes,
a6m5_zero_china,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,A6M5_2x60kg | a6m5_bombs | a6m5_default,weaponPresets_bombguns_structural,yes,yes,
a6m5hei,jp_navy_mod25mark2_250kg,jp_navy_mod25mark2_250kg,Japan,257.0,250-499 kg,111.0,0.358,,1.813,,,jp_navy_mod25mark2_250kg.blkx,A6M5_default | A6M5otsu_2x60kg | a6m5_bombs | a6m5hei_10x9kg_rockets | a6m5hei_2x66kg_rockets,weaponPresets_bombguns_structural,yes,yes,
a6m5hei,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,A6M5_default | A6M5otsu_2x60kg | a6m5_bombs | a6m5hei_10x9kg_rockets | a6m5hei_2x66kg_rockets,weaponPresets_bombguns_structural,yes,yes,
a6m5ko,jp_navy_mod25mark2_250kg,jp_navy_mod25mark2_250kg,Japan,257.0,250-499 kg,111.0,0.358,,1.813,,,jp_navy_mod25mark2_250kg.blkx,A6M5ko_2x60kg | a6m5ko_bombs | a6m5ko_default,weaponPresets_bombguns_structural,yes,yes,
a6m5ko,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,A6M5ko_2x60kg | a6m5ko_bombs | a6m5ko_default,weaponPresets_bombguns_structural,yes,yes,
a6m5otsu,jp_navy_mod25mark2_250kg,jp_navy_mod25mark2_250kg,Japan,257.0,250-499 kg,111.0,0.358,,1.813,,,jp_navy_mod25mark2_250kg.blkx,A6M5_default | A6M5otsu_2x60kg | a6m5_bombs,weaponPresets_bombguns_structural,yes,yes,
a6m5otsu,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,A6M5_default | A6M5otsu_2x60kg | a6m5_bombs,weaponPresets_bombguns_structural,yes,yes,
a6m6c,jp_navy_mod25mark2_250kg,jp_navy_mod25mark2_250kg,Japan,257.0,250-499 kg,111.0,0.358,,1.813,,,jp_navy_mod25mark2_250kg.blkx,A6M6c_10x9kg_rockets | A6M6c_2x60kg | A6M6c_2x66kg_rockets | A6M6c_bombs | A6M6c_default,weaponPresets_bombguns_structural,yes,yes,
a6m6c,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,A6M6c_10x9kg_rockets | A6M6c_2x60kg | A6M6c_2x66kg_rockets | A6M6c_bombs | A6M6c_default,weaponPresets_bombguns_structural,yes,yes,
a7m1,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,a7m_bombs | a7m_default,weaponPresets_bombguns_structural,yes,yes,
a7m2,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,a7m_13kg_rockets | a7m_66kg_rockets | a7m_84kg_rockets | a7m_9kg_rockets | a7m_bombs | a7m_default,weaponPresets_bombguns_structural,yes,yes,
a_20g,us_250lb_anm57,us_250lb_anm57,USA,117.9,100-249 kg,58.5,0.274,,1.214,,,us_250lb_anm57.blkx,A-20G_500lb | a-20g_12xbazooka | a20g_2x250_2x500lb | a20g_4x250lb | a20g_default | a20g_torpedo,weaponPresets_bombguns_structural,yes,yes,
a_20g,us_500lb_anm64a1,us_500lb_anm64a1,USA,242.6,100-249 kg,124.28,0.36,,1.503,,,us_500lb_anm64a1.blkx,A-20G_500lb | a-20g_12xbazooka | a20g_2x250_2x500lb | a20g_4x250lb | a20g_default | a20g_torpedo,weaponPresets_bombguns_structural,yes,yes,
a_26c,us_1000lb_anm65a1,us_1000lb_anm65a1,USA,500.76,500-999 kg,269.9,0.477,,1.765,,,us_1000lb_anm65a1.blkx,a_26c_20x100lbs | a_26c_250lbs | a_26c_2x2000lbs | a_26c_4x1000lbs | a_26c_4x1000lbs_ap | a_26c_8x500lbs | a_26c_default,weaponPresets_bombguns_structural,yes,yes,
a_26c,us_1000lb_anmk33_box_ap,us_1000lb_anmk33_box_ap,USA,457.22,250-499 kg,63.5,0.3048,,1.8542,,,us_1000lb_anmk33_box_ap.blkx,a_26c_20x100lbs | a_26c_250lbs | a_26c_2x2000lbs | a_26c_4x1000lbs | a_26c_4x1000lbs_ap | a_26c_8x500lbs | a_26c_default,weaponPresets_bombguns_structural,yes,yes,
a_26c,us_100lb_anm30,us_100lb_anm30,USA,49.9,<100 kg,24.5,0.207,,0.976,,,us_100lb_anm30.blkx,a_26c_20x100lbs | a_26c_250lbs | a_26c_2x2000lbs | a_26c_4x1000lbs | a_26c_4x1000lbs_ap | a_26c_8x500lbs | a_26c_default,weaponPresets_bombguns_structural,yes,yes,
a_26c,us_2000lbs_anm66,us_2000lbs_anm66,USA,996.3,500-999 kg,535.6,0.591,,2.357,,,us_2000lbs_anm66.blkx,a_26c_20x100lbs | a_26c_250lbs | a_26c_2x2000lbs | a_26c_4x1000lbs | a_26c_4x1000lbs_ap | a_26c_8x500lbs | a_26c_default,weaponPresets_bombguns_structural,yes,yes,
a_26c,us_250lb_anm57,us_250lb_anm57,USA,117.9,100-249 kg,58.5,0.274,,1.214,,,us_250lb_anm57.blkx,a_26c_20x100lbs | a_26c_250lbs | a_26c_2x2000lbs | a_26c_4x1000lbs | a_26c_4x1000lbs_ap | a_26c_8x500lbs | a_26c_default,weaponPresets_bombguns_structural,yes,yes,
a_26c,us_500lb_anm64a1,us_500lb_anm64a1,USA,242.6,100-249 kg,124.28,0.36,,1.503,,,us_500lb_anm64a1.blkx,a_26c_20x100lbs | a_26c_250lbs | a_26c_2x2000lbs | a_26c_4x1000lbs | a_26c_4x1000lbs_ap | a_26c_8x500lbs | a_26c_default,weaponPresets_bombguns_structural,yes,yes,
a_26c_45_dt,us_1000lb_anm65a1,us_1000lb_anm65a1,USA,500.76,500-999 kg,269.9,0.477,,1.765,,,us_1000lb_anm65a1.blkx,a_26c_20x100lbs | a_26c_250lbs | a_26c_2x2000lbs | a_26c_4x1000lbs | a_26c_4x1000lbs_ap | a_26c_5in_rockets | a_26c_8x500lbs | a_26c_default,weaponPresets_bombguns_structural,yes,yes,
a_26c_45_dt,us_1000lb_anmk33_box_ap,us_1000lb_anmk33_box_ap,USA,457.22,250-499 kg,63.5,0.3048,,1.8542,,,us_1000lb_anmk33_box_ap.blkx,a_26c_20x100lbs | a_26c_250lbs | a_26c_2x2000lbs | a_26c_4x1000lbs | a_26c_4x1000lbs_ap | a_26c_5in_rockets | a_26c_8x500lbs | a_26c_default,weaponPresets_bombguns_structural,yes,yes,
a_26c_45_dt,us_100lb_anm30,us_100lb_anm30,USA,49.9,<100 kg,24.5,0.207,,0.976,,,us_100lb_anm30.blkx,a_26c_20x100lbs | a_26c_250lbs | a_26c_2x2000lbs | a_26c_4x1000lbs | a_26c_4x1000lbs_ap | a_26c_5in_rockets | a_26c_8x500lbs | a_26c_default,weaponPresets_bombguns_structural,yes,yes,
a_26c_45_dt,us_2000lbs_anm66,us_2000lbs_anm66,USA,996.3,500-999 kg,535.6,0.591,,2.357,,,us_2000lbs_anm66.blkx,a_26c_20x100lbs | a_26c_250lbs | a_26c_2x2000lbs | a_26c_4x1000lbs | a_26c_4x1000lbs_ap | a_26c_5in_rockets | a_26c_8x500lbs | a_26c_default,weaponPresets_bombguns_structural,yes,yes,
a_26c_45_dt,us_250lb_anm57,us_250lb_anm57,USA,117.9,100-249 kg,58.5,0.274,,1.214,,,us_250lb_anm57.blkx,a_26c_20x100lbs | a_26c_250lbs | a_26c_2x2000lbs | a_26c_4x1000lbs | a_26c_4x1000lbs_ap | a_26c_5in_rockets | a_26c_8x500lbs | a_26c_default,weaponPresets_bombguns_structural,yes,yes,
a_26c_45_dt,us_500lb_anm64a1,us_500lb_anm64a1,USA,242.6,100-249 kg,124.28,0.36,,1.503,,,us_500lb_anm64a1.blkx,a_26c_20x100lbs | a_26c_250lbs | a_26c_2x2000lbs | a_26c_4x1000lbs | a_26c_4x1000lbs_ap | a_26c_5in_rockets | a_26c_8x500lbs | a_26c_default,weaponPresets_bombguns_structural,yes,yes,
a_35b,us_1000lb_anm65a1,us_1000lb_anm65a1,USA,500.76,500-999 kg,269.9,0.477,,1.765,,,us_1000lb_anm65a1.blkx,a_35b_1000lbs | a_35b_250lbs | a_35b_500lbs,weaponPresets_bombguns_structural,yes,yes,
a_35b,us_250lb_anm57,us_250lb_anm57,USA,117.9,100-249 kg,58.5,0.274,,1.214,,,us_250lb_anm57.blkx,a_35b_1000lbs | a_35b_250lbs | a_35b_500lbs,weaponPresets_bombguns_structural,yes,yes,
a_35b,us_500lb_anm64a1,us_500lb_anm64a1,USA,242.6,100-249 kg,124.28,0.36,,1.503,,,us_500lb_anm64a1.blkx,a_35b_1000lbs | a_35b_250lbs | a_35b_500lbs,weaponPresets_bombguns_structural,yes,yes,
attaker_fb1,uk_1000lbs_mc_mk1,uk_1000lbs_mc_mk1,Great Britain,474.4,250-499 kg,227.7,0.45,,1.844,,,uk_1000lbs_mc_mk1.blkx,attaker_fb1_1000lbs_bombs | attaker_fb1_12rockets | attaker_fb1_500lbs_bombs | attaker_fb1_default,weaponPresets_bombguns_structural,yes,yes,
attaker_fb1,uk_500lb_he_mc_mk2,uk_500lb_he_mc_mk2,Great Britain,213.1,100-249 kg,107.5,0.325,,1.793,,,uk_500lb_he_mc_mk2.blkx,attaker_fb1_1000lbs_bombs | attaker_fb1_12rockets | attaker_fb1_500lbs_bombs | attaker_fb1_default,weaponPresets_bombguns_structural,yes,yes,
attaker_fb2,uk_1000lbs_mc_mk1,uk_1000lbs_mc_mk1,Great Britain,474.4,250-499 kg,227.7,0.45,,1.844,,,uk_1000lbs_mc_mk1.blkx,attaker_fb1_1000lbs_bombs | attaker_fb1_12rockets | attaker_fb1_500lbs_bombs | attaker_fb1_default,weaponPresets_bombguns_structural,yes,yes,
attaker_fb2,uk_500lb_he_mc_mk2,uk_500lb_he_mc_mk2,Great Britain,213.1,100-249 kg,107.5,0.325,,1.793,,,uk_500lb_he_mc_mk2.blkx,attaker_fb1_1000lbs_bombs | attaker_fb1_12rockets | attaker_fb1_500lbs_bombs | attaker_fb1_default,weaponPresets_bombguns_structural,yes,yes,
b5n2,jp_navy_mod25mark2_250kg,jp_navy_mod25mark2_250kg,Japan,257.0,250-499 kg,111.0,0.358,,1.813,,,jp_navy_mod25mark2_250kg.blkx,b5n2_default | b5n2_mark2_6x_type97mod6_bombs | b5n2_mark2_bombs | b5n2_mod80mk1_bomb | b5n2_type91mod2_torpedo | b5n2_type91mod3_torpedo | b5n2_type97mod6_bombs | b5n2_type98_6x_type97mod6_bombs | b5n2_type98_bombs | b5n2_type99mod80_bomb,weaponPresets_bombguns_structural,yes,yes,
b5n2,jp_navy_mod80mark1_800kg,jp_navy_mod80mark1_800kg,Japan,805.0,500-999 kg,382.0,0.449,,2.829,,,jp_navy_mod80mark1_800kg.blkx,b5n2_default | b5n2_mark2_6x_type97mod6_bombs | b5n2_mark2_bombs | b5n2_mod80mk1_bomb | b5n2_type91mod2_torpedo | b5n2_type91mod3_torpedo | b5n2_type97mod6_bombs | b5n2_type98_6x_type97mod6_bombs | b5n2_type98_bombs | b5n2_type99mod80_bomb,weaponPresets_bombguns_structural,yes,yes,
